"Skill","What it does","Outlier fit","Outlier pipeline use","Category","Caution","Source","SKILL.md paths"
"ascora-automation","Automate Ascora tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/ascora-automation/SKILL.md"
"Ashby Automation","Automate recruiting and hiring workflows in Ashby -- manage candidates, jobs, applications, interviews, and notes through natural language commands.","No direct fit","No direct core-pipeline use. If you adopt Ashby operationally, this skill can automate that service around Outlier; it should not affect odds, projections, ranking, sizing, or settlement truth.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/ashby-automation/SKILL.md"
"asin-data-api-automation","Automate Asin Data API tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Data & analytics","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/asin-data-api-automation/SKILL.md"
"aspnet-core","Build, review, refactor, or architect ASP.NET Core web applications using current official guidance for .NET web development. Use when working on Blazor Web Apps, Razor Pages, MVC, Minimal APIs, controller-based Web APIs, SignalR, gRPC, middleware, dependency injection, configuration, authentication, authorization, testing, performance, deployment, or ASP.NET Core upgrades.","No direct fit","Support hosting, CI, monitoring, or delivery of pipeline services and artifacts; use it around the pipeline rather than as betting evidence.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/aspnet-core/SKILL.md"
"astica-ai-automation","Automate Astica AI tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/astica-ai-automation/SKILL.md"
"async-interview-automation","Automate Async Interview tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/async-interview-automation/SKILL.md"
"atlassian-automation","Automate Atlassian tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Collaboration & projects","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/atlassian-automation/SKILL.md"
"Attio Automation","Automate Attio CRM operations -- search records, query contacts and companies with advanced filters, manage notes, list attributes, and navigate your relationship data -- using natural language through the Composio MCP integration.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/attio-automation/SKILL.md"
"auth0-automation","Automate Auth0 tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Cloud & infrastructure","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/auth0-automation/SKILL.md"
"autobound-automation","Automate Autobound tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/autobound-automation/SKILL.md"
"autom-automation","Automate Autom tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/autom-automation/SKILL.md"
